AQI,Station_name,Time
175,"NISE Gwal Pahari, Gurugram, India",2023-12-10 11:00:00
167,"NISE Gwal Pahari, Gurugram, India",2023-12-10 13:00:00
160,"NISE Gwal Pahari, Gurugram, India",2023-12-10 14:00:00
164,"NISE Gwal Pahari, Gurugram, India",2023-12-10 15:00:00
164,"NISE Gwal Pahari, Gurugram, India",2023-12-10 16:00:00
173,"NISE Gwal Pahari, Gurugram, India",2023-12-10 17:00:00
97,"NISE Gwal Pahari, Gurugram, India",2023-12-10 18:00:00
21,"NISE Gwal Pahari, Gurugram, India",2023-12-10 21:00:00
19,"NISE Gwal Pahari, Gurugram, India",2023-12-10 22:00:00
165,"NISE Gwal Pahari, Gurugram, India",2023-12-10 23:00:00
186,"NISE Gwal Pahari, Gurugram, India",2023-12-11 00:00:00
192,"NISE Gwal Pahari, Gurugram, India",2023-12-11 01:00:00
183,"NISE Gwal Pahari, Gurugram, India",2023-12-11 02:00:00
181,"NISE Gwal Pahari, Gurugram, India",2023-12-11 03:00:00
187,"NISE Gwal Pahari, Gurugram, India",2023-12-11 04:00:00
187,"NISE Gwal Pahari, Gurugram, India",2023-12-11 05:00:00
194,"NISE Gwal Pahari, Gurugram, India",2023-12-11 07:00:00
193,"NISE Gwal Pahari, Gurugram, India",2023-12-11 08:00:00
185,"NISE Gwal Pahari, Gurugram, India",2023-12-11 09:00:00
173,"NISE Gwal Pahari, Gurugram, India",2023-12-11 10:00:00
195,"NISE Gwal Pahari, Gurugram, India",2023-12-11 23:00:00
187,"NISE Gwal Pahari, Gurugram, India",2023-12-12 00:00:00
188,"NISE Gwal Pahari, Gurugram, India",2023-12-12 01:00:00
190,"NISE Gwal Pahari, Gurugram, India",2023-12-12 02:00:00
189,"NISE Gwal Pahari, Gurugram, India",2023-12-12 03:00:00
278,"NISE Gwal Pahari, Gurugram, India",2023-12-12 04:00:00
180,"NISE Gwal Pahari, Gurugram, India",2023-12-12 05:00:00
225,"NISE Gwal Pahari, Gurugram, India",2023-12-12 07:00:00
205,"NISE Gwal Pahari, Gurugram, India",2023-12-12 08:00:00
182,"NISE Gwal Pahari, Gurugram, India",2023-12-12 13:00:00
218,"NISE Gwal Pahari, Gurugram, India",2023-12-14 06:00:00
227,"NISE Gwal Pahari, Gurugram, India",2023-12-14 07:00:00
206,"NISE Gwal Pahari, Gurugram, India",2023-12-14 08:00:00
239,"NISE Gwal Pahari, Gurugram, India",2023-12-14 09:00:00
231,"NISE Gwal Pahari, Gurugram, India",2023-12-14 10:00:00
194,"NISE Gwal Pahari, Gurugram, India",2023-12-14 11:00:00
167,"NISE Gwal Pahari, Gurugram, India",2023-12-14 12:00:00
130,"NISE Gwal Pahari, Gurugram, India",2023-12-14 13:00:00
138,"NISE Gwal Pahari, Gurugram, India",2023-12-14 14:00:00
155,"NISE Gwal Pahari, Gurugram, India",2023-12-14 15:00:00
155,"NISE Gwal Pahari, Gurugram, India",2023-12-14 16:00:00
155,"NISE Gwal Pahari, Gurugram, India",2023-12-14 17:00:00
152,"NISE Gwal Pahari, Gurugram, India",2023-12-14 18:00:00
174,"NISE Gwal Pahari, Gurugram, India",2023-12-14 21:00:00
193,"NISE Gwal Pahari, Gurugram, India",2023-12-15 01:00:00
192,"NISE Gwal Pahari, Gurugram, India",2023-12-15 03:00:00
191,"NISE Gwal Pahari, Gurugram, India",2023-12-15 04:00:00
188,"NISE Gwal Pahari, Gurugram, India",2023-12-15 05:00:00
191,"NISE Gwal Pahari, Gurugram, India",2023-12-15 07:00:00
195,"NISE Gwal Pahari, Gurugram, India",2023-12-15 08:00:00
190,"NISE Gwal Pahari, Gurugram, India",2023-12-15 09:00:00
24,"NISE Gwal Pahari, Gurugram, India",2023-12-15 21:00:00
168,"NISE Gwal Pahari, Gurugram, India",2023-12-15 22:00:00
188,"NISE Gwal Pahari, Gurugram, India",2023-12-15 23:00:00
242,"NISE Gwal Pahari, Gurugram, India",2023-12-16 00:00:00
195,"NISE Gwal Pahari, Gurugram, India",2023-12-16 01:00:00
189,"NISE Gwal Pahari, Gurugram, India",2023-12-16 02:00:00
191,"NISE Gwal Pahari, Gurugram, India",2023-12-16 03:00:00
185,"NISE Gwal Pahari, Gurugram, India",2023-12-16 04:00:00
185,"NISE Gwal Pahari, Gurugram, India",2023-12-16 05:00:00
228,"NISE Gwal Pahari, Gurugram, India",2023-12-16 07:00:00
228,"NISE Gwal Pahari, Gurugram, India",2023-12-16 08:00:00
177,"NISE Gwal Pahari, Gurugram, India",2023-12-16 13:00:00
168,"NISE Gwal Pahari, Gurugram, India",2023-12-16 14:00:00
135,"NISE Gwal Pahari, Gurugram, India",2023-12-16 15:00:00
93,"NISE Gwal Pahari, Gurugram, India",2023-12-16 16:00:00
114,"NISE Gwal Pahari, Gurugram, India",2023-12-16 17:00:00
172,"NISE Gwal Pahari, Gurugram, India",2023-12-16 21:00:00
181,"NISE Gwal Pahari, Gurugram, India",2023-12-16 22:00:00
191,"NISE Gwal Pahari, Gurugram, India",2023-12-16 23:00:00
193,"NISE Gwal Pahari, Gurugram, India",2023-12-17 00:00:00
193,"NISE Gwal Pahari, Gurugram, India",2023-12-17 01:00:00
202,"NISE Gwal Pahari, Gurugram, India",2023-12-17 02:00:00
207,"NISE Gwal Pahari, Gurugram, India",2023-12-17 09:00:00
65,"NISE Gwal Pahari, Gurugram, India",2023-12-17 10:00:00
128,"NISE Gwal Pahari, Gurugram, India",2023-12-17 12:00:00
87,"NISE Gwal Pahari, Gurugram, India",2023-12-17 13:00:00
140,"NISE Gwal Pahari, Gurugram, India",2023-12-17 14:00:00
161,"NISE Gwal Pahari, Gurugram, India",2023-12-17 15:00:00
155,"NISE Gwal Pahari, Gurugram, India",2023-12-17 17:00:00
162,"NISE Gwal Pahari, Gurugram, India",2023-12-17 18:00:00
224,"NISE Gwal Pahari, Gurugram, India",2023-12-17 21:00:00
241,"NISE Gwal Pahari, Gurugram, India",2023-12-17 22:00:00
241,"NISE Gwal Pahari, Gurugram, India",2023-12-17 23:00:00
233,"NISE Gwal Pahari, Gurugram, India",2023-12-18 00:00:00
206,"NISE Gwal Pahari, Gurugram, India",2023-12-18 01:00:00
204,"NISE Gwal Pahari, Gurugram, India",2023-12-18 02:00:00
226,"NISE Gwal Pahari, Gurugram, India",2023-12-18 03:00:00
224,"NISE Gwal Pahari, Gurugram, India",2023-12-18 04:00:00
207,"NISE Gwal Pahari, Gurugram, India",2023-12-18 05:00:00
137,"NISE Gwal Pahari, Gurugram, India",2023-12-18 07:00:00
170,"NISE Gwal Pahari, Gurugram, India",2023-12-18 12:00:00
256,"NISE Gwal Pahari, Gurugram, India",2023-12-18 13:00:00
175,"NISE Gwal Pahari, Gurugram, India",2023-12-19 00:00:00
166,"NISE Gwal Pahari, Gurugram, India",2023-12-19 01:00:00
168,"NISE Gwal Pahari, Gurugram, India",2023-12-19 02:00:00
170,"NISE Gwal Pahari, Gurugram, India",2023-12-19 03:00:00
173,"NISE Gwal Pahari, Gurugram, India",2023-12-19 04:00:00
174,"NISE Gwal Pahari, Gurugram, India",2023-12-19 05:00:00
174,"NISE Gwal Pahari, Gurugram, India",2023-12-19 07:00:00
173,"NISE Gwal Pahari, Gurugram, India",2023-12-19 08:00:00
