,Date,AQI
408,2021-04-17,107.0
409,2021-04-18,184.0
410,2021-04-19,281.0
411,2021-04-20,191.0
412,2021-04-21,109.0
413,2021-04-22,136.0
414,2021-04-23,170.0
415,2021-04-24,128.0
416,2021-04-25,302.0
417,2021-04-26,326.0
418,2021-04-27,396.0
419,2021-04-28,339.0
420,2021-04-29,375.0
421,2021-04-30,395.0
422,2021-05-01,190.0
423,2021-05-02,172.0
424,2021-05-03,315.0
425,2021-05-04,156.0
426,2021-05-05,187.0
427,2021-05-06,145.0
428,2021-05-07,105.0
429,2021-05-08,167.0
430,2021-05-09,146.0
431,2021-05-10,152.0
432,2021-05-11,192.0
433,2021-05-12,134.0
434,2021-05-13,107.0
435,2021-05-14,115.0
436,2021-05-15,173.0
437,2021-05-16,148.0
438,2021-05-17,229.0
439,2021-05-18,88.0
440,2021-05-19,89.0
441,2021-05-20,80.0
442,2021-05-21,83.0
443,2021-05-22,100.0
444,2021-05-23,312.0
445,2021-05-24,140.0
446,2021-05-25,150.0
447,2021-05-26,163.0
448,2021-05-27,166.0
449,2021-05-28,123.0
450,2021-05-29,135.0
451,2021-05-30,104.0
452,2021-05-31,144.0
453,2021-06-01,150.0
454,2021-06-02,151.0
455,2021-06-03,135.0
456,2021-06-04,159.0
457,2021-06-05,134.0
458,2021-06-06,145.0
459,2021-06-07,177.0
460,2021-06-08,245.0
461,2021-06-09,227.0
462,2021-06-10,241.0
463,2021-06-11,188.0
464,2021-06-12,130.0
465,2021-06-13,101.0
466,2021-06-14,107.0
467,2021-06-15,97.0
468,2021-06-16,78.0
469,2021-06-17,84.0
470,2021-06-18,79.0
471,2021-06-19,73.0
472,2021-06-20,62.0
473,2021-06-21,94.0
474,2021-06-22,152.0
475,2021-06-23,275.0
476,2021-06-24,164.0
477,2021-06-25,165.0
478,2021-06-26,152.0
479,2021-06-27,225.0
480,2021-06-28,211.0
481,2021-06-29,257.0
482,2021-06-30,228.0
483,2021-07-01,144.0
484,2021-07-02,137.0
485,2021-07-03,111.0
486,2021-07-04,116.0
487,2021-07-05,121.0
488,2021-07-06,127.0
489,2021-07-07,117.0
490,2021-07-08,126.0
491,2021-07-09,125.0
492,2021-07-10,126.0
493,2021-07-11,158.0
494,2021-07-12,111.0
495,2021-07-13,74.0
496,2021-07-14,82.0
497,2021-07-15,122.0
498,2021-07-16,96.0
499,2021-07-17,159.0
500,2021-07-18,87.0
501,2021-07-19,49.0
502,2021-07-20,105.0
503,2021-07-21,84.0
504,2021-07-22,80.0
505,2021-07-23,99.0
506,2021-07-24,159.0
507,2021-07-25,131.0
508,2021-07-26,173.0
509,2021-07-27,91.0
510,2021-07-28,60.0
511,2021-07-29,77.0
512,2021-07-30,88.0
513,2021-07-31,106.0
514,2021-08-01,123.0
515,2021-08-02,162.0
516,2021-08-03,77.0
517,2021-08-04,71.0
518,2021-08-05,113.0
519,2021-08-06,119.0
520,2021-08-07,153.0
521,2021-08-08,102.0
522,2021-08-09,101.0
523,2021-08-10,102.0
524,2021-08-11,78.0
525,2021-08-12,76.0
526,2021-08-13,90.0
527,2021-08-14,82.0
528,2021-08-15,88.0
529,2021-08-16,102.0
530,2021-08-17,119.0
531,2021-08-18,169.0
532,2021-08-19,294.0
533,2021-08-20,165.0
534,2021-08-21,56.0
535,2021-08-22,73.0
536,2021-08-23,70.0
